url,tweet_ids,author_ids,author_usernames,created_ats,url_title,tweet_count
https://opensea.io/collection/the-infinite-machine-collection,"[1517645902239916032, 1517246747202007043]","[421271885, 421271885]","['CamiRusso', 'CamiRusso']","['2022-04-22T23:25:54+00:00', '2022-04-21T20:59:48+00:00']",,2
https://twitter.com/cobie/status/1516576803661430784/photo/1,"[1516576803661430784, 1516576803661430784]","[2259434528, 2259434528]","['cobie', 'cobie']","['2022-04-20T00:37:41+00:00', '2022-04-20T00:37:41+00:00']",,2
https://streameth.tv/event/mev-day,"[1517445546776084481, 1517429860997767169]","[566534886, 566534886]","['hasufl', 'hasufl']","['2022-04-22T10:09:45+00:00', '2022-04-22T09:07:26+00:00']",mev.day · StreamETH,2
https://twitter.com/zachxbt/status/1516575579239325697/photo/1,"[1516575579239325697, 1516575579239325697]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-20T00:32:49+00:00', '2022-04-20T00:32:49+00:00']",,2
https://twitter.com/blockchainassn/status/1517637109368164358,"[1517641167223070720, 1517639527476699138]","[2193616844, 2193616844]","['twobitidiot', 'twobitidiot']","['2022-04-22T23:07:05+00:00', '2022-04-22T23:00:34+00:00']",,2
https://twitter.com/zachxbt/status/1516499190414782470/photo/1,"[1516499190414782470, 1516499190414782470]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-19T19:29:16+00:00', '2022-04-19T19:29:16+00:00']",,2
https://twitter.com/Timcast/status/1516542117073633284,"[1516543316866867203, 1516543212785131523]","[420308365, 420308365]","['nic__carter', 'nic__carter']","['2022-04-19T22:24:37+00:00', '2022-04-19T22:24:12+00:00']",,2
https://twitter.com/zachxbt/status/1517531971173314560/photo/1,"[1517531971173314560, 1517531971173314560]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-22T15:53:10+00:00', '2022-04-22T15:53:10+00:00']",,2
https://twitter.com/sgoldfed/status/1516896690019647488,"[1517229407244623872, 1517169398875787264]","[24809221, 313724502]","['kaiynne', 'sassal0x']","['2022-04-21T19:50:54+00:00', '2022-04-21T15:52:26+00:00']",,2
https://twitter.com/zachxbt/status/1517531460156145667/photo/1,"[1517531460156145667, 1517531460156145667]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-22T15:51:09+00:00', '2022-04-22T15:51:09+00:00']",,2
