id,username,score
5711522,fishkiller,18.0
189184866,Fiskantes,24.0
777685806437785601,Flynnjamm,24.0
67965496,FollowTheChain,0.0
929827324563947521,fomosaurus,24.0
1185623864883253250,fubuloubu,0.0
22784458,Fwiz,50.0
3159122144,gabrielhaines,12.0
2309701,gabusch,24.0
1227321079812837377,gaby_goldberg,24.0
804029200315334656,gakonst,24.0
5768872,garyvee,56.0
735715069,geeogi,0.0
1311393885806100481,gmoneyNFT,56.0
186858310,GNSPS,0.0
1362625187489976321,GordonGoner,38.0
14642331,gregisenberg,56.0
1214949783007367170,gregoireljda,0.0
906911824490188800,GregusJakub,0.0
11677482,hal2001,0.0
566534886,hasufl,30.0
702654540387127296,haydenzadams,56.0
613649581,HesterPeirce,44.0
15099695,heysakina,0.0
22468357,HHorsley,32.0
86890115,homakov,32.0
231208649,hosseeb,24.0
944686196331966464,HsakaTrades,36.0
1141179834,hsinjuchuang,0.0
801236832,hudsonjameson,18.0
423843269,HughKarp,0.0
1478433775,iam_preethi,24.0
956670268596015105,iamDCinvestor,0.0
2272640503,iamjosephyoung,30.0
22341856,IamNomad,24.0
14654085,iamtexture,0.0
2437938810,ianDAOs,12.0
239518063,icebergy_,24.0
542666345,Iiterature,12.0
2415936756,im_manderson,0.0
1076915521835225088,intocryptoast,12.0
1051852534518824960,inversebrah,30.0
1341287326467538945,j0hnwang,12.0
3231887778,JackLipstone,0.0
955264120537866240,JAI_BHAVNANI,12.0
773744012045983744,jaimeschmidt,38.0
7032982,jamie247,24.0
849626577658822656,janehk,12.0
14592709,jbrukh,18.0
47003920,jchervinsky,44.0
230186350,jdorman81,18.0
4655681693,jennaszenk,0.0
2478756618,jerallaire,44.0
379400685,JeremyRubin,12.0
66950686,jespow,24.0
26149295,jessewldn,24.0
1332865426846466049,JetJadeja,0.0
94274445,jgarzik,44.0
1009692722976788480,Jihoz_Axie,50.0
169312819,jillrgunter,24.0
2742539024,jinglejamOP,12.0
17659162,jmonegro,12.0
1227812190381461504,joey__santoro,12.0
1098681096,joeykrug,18.0
2547330050,john_c_palmer,12.0
15809138,jonwu_,24.0
4828981,joonian,38.0
180976017,jose34730,0.0
228957664,josephdelong,18.0
2598685578,JosephTodaro_,0.0
824461206815731712,jparklev,0.0
1475778318,jpurd17,0.0
1391490624,js_horne,12.0
44340733,JuanSnow,0.0
787784121166733312,juliankoh,0.0
25946543,julzrose,0.0
1238540802302906371,JulzRoze,0.0
28917111,justinkan,56.0
902839045356744704,justinsuntron,56.0
2254182852,jutta_steiner,12.0
24809221,kaiynne,24.0
1395639606952042500,kashviETH,0.0
911314186365472768,katherineykwu,44.0
857994826230374401,katie_haun,44.0
143624329,kermankohli,0.0
657863,kevinrose,56.0
995834351316324352,kevinsekniqi,38.0
1221471325522288640,khuranarishabh0,0.0
63064338,koeppelmann,12.0
